date,day_sin,day_cos,weekday_sin,weekday_cos,month_sin,month_cos,weekend,holiday,actual_holiday,cash_balance,net_inflow
2019-01-01,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,1,1,1374553.16857,374553.16857
2019-01-02,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,1875253.527179234,500700.358609234
2019-01-03,0.5712682150947923,0.8207634412072763,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,2407772.746133248,532519.2189540138
2019-01-04,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,3000253.157902534,592480.4117692863
2019-01-05,0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,0,3176185.984497904,175932.8265953698
2019-01-06,0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1,1,1,3659032.400990997,482846.4164930931
2019-01-07,0.9884683243281114,0.1514277775045767,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,4144127.495104829,485095.0941138321
2019-01-08,0.9987165071710528,-0.05064916883871264,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,4611890.219666531,467762.7245617019
2019-01-09,0.9680771188662043,-0.2506525322587204,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,5105667.798195239,493777.5785287082
2019-01-10,0.8978045395707416,-0.4403941515576344,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,5273240.949875811,167573.1516805722
2019-01-11,0.7907757369376989,-0.6121059825476626,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,5845945.827452897,572704.8775770857
2019-01-12,0.6513724827222223,-0.758758122692791,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,0,6345788.342727669,499842.5152747714
2019-01-13,0.48530196253108104,-0.8743466161445821,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1,1,0,6829968.206985078,484179.8642574093
2019-01-14,0.29936312297335804,-0.9541392564000488,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,7289409.62852972,459441.421544643
2019-01-15,0.10116832198743272,-0.994869323391895,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,6719578.4082054645,-569831.2203242563
2019-01-16,-0.10116832198743204,-0.9948693233918952,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,7213060.320433681,493481.9122282167
2019-01-17,-0.2993631229733582,-0.9541392564000488,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,7729127.030729016,516066.7102953352
2019-01-18,-0.4853019625310808,-0.8743466161445822,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,8307032.425036042,577905.3943070257
2019-01-19,-0.651372482722222,-0.7587581226927911,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,0,8802227.132961577,495194.7079255355
2019-01-20,-0.7907757369376986,-0.6121059825476627,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1,1,0,9273191.720326573,470964.58736499486
2019-01-21,-0.8978045395707417,-0.44039415155763423,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,9754280.769545948,481089.0492193758
2019-01-22,-0.9680771188662041,-0.2506525322587213,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,10213853.442095008,459572.67254906
2019-01-23,-0.9987165071710528,-0.05064916883871355,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,10712481.80991825,498628.3678232421
