date,store_id,year,month,day,week_day,holiday,actual_holiday,weekend,oil_price,euribor,consumer_confidence,inflation_index,consumer_prices,fao,pandemic_uncertainty,daily_nonfood_sales,daily_food_sales,daily_total_sales,supplier_revenue_monthly,cogs_payment,pos_commission_rate,waste_rate,daily_salary,services,logistics,marketing,it,admin,other,insurance,taxes,rent,cash_balance,net_inflow,pred_outflow,pred_inflow
2019-01-01,S003,2019,1,1,1,1,1,0,54.90999984741211,-0.308,101.2489,102.4,110.3,100.4632197383237,0.0,1844.71,16602.37,18447.08,0.0,0.0,-166.02372,-332.04744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117949.00884,17949.008840000002,-1304466.7992048,2304713.7161537763
2019-01-02,S003,2019,1,2,2,0,0,0,54.90999984741211,-0.30801451612903225,101.24195161290324,102.40322580645162,110.3,100.4101152963056,0.0014263433333333334,2465.9,22193.13,24659.028800298922,0.0,0.0,-221.93125920269028,-443.86251840538057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141942.24386269087,23993.23502269085,-1517651.0461851363,2302916.9654618907
2019-01-03,S003,2019,1,3,3,0,0,0,55.95000076293945,-0.3080290322580645,101.23500322580645,102.40645161290323,110.3,100.35701085428752,0.002852686666666667,2622.51,23602.6,26225.11538833457,0.0,0.0,-236.0260384950111,-472.0520769900222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167459.2811355404,25517.037272849535,-1517592.9606443078,2300765.6491349167
2019-01-04,S003,2019,1,4,4,0,0,0,57.060001373291016,-0.30804354838709674,101.22805483870968,102.40967741935485,110.3,100.30390641226943,0.0042790300000000005,2917.7,26259.27,29176.966650506663,0.0,0.0,-262.59269985455995,-525.1853997091199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195848.46968648338,28389.188550942985,-1517493.1890641141,2297070.405424033
2019-01-05,S003,2019,1,5,5,1,0,1,57.060001373291016,-0.30805806451612905,101.22110645161291,102.41290322580646,110.3,100.25080197025135,0.005705373333333334,3225.13,29026.15,32251.274635622605,0.0,0.0,-290.2614717206034,-580.5229434412068,0.0,0.0,0.0,0.0,-2500.0,-2500.0,0.0,0.0,0.0,-12000.0,210228.9599069442,14380.490220460795,-1517377.4326900227,2292783.1323095323
2019-01-06,S003,2019,1,6,6,1,1,1,57.060001373291016,-0.3080725806451613,101.21415806451614,102.41612903225807,110.3,100.19769752823325,0.007131716666666667,2377.62,21398.61,23776.234798769878,0.0,0.0,-213.9861131889289,-427.9722263778578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233363.23636614726,23134.27645920309,-1517383.7672894902,2293017.7471046294
2019-01-07,S003,2019,1,7,0,0,0,0,57.33000183105469,-0.30808709677419355,101.20720967741936,102.41935483870968,110.3,100.14459308621517,0.008558060000000001,2388.61,21497.47,23886.081595077223,0.0,0.0,-214.97473435569498,-429.94946871138995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256604.39375815738,23241.157392010136,-1517376.9018919792,2292763.473122741
2019-01-08,S003,2019,1,8,1,0,0,0,58.720001220703125,-0.3081016129032258,101.20026129032259,102.42258064516129,110.3,100.09148864419707,0.009984403333333334,2303.18,20728.61,23031.790456196628,0.0,0.0,-207.28611410576963,-414.57222821153925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279014.32587203674,22409.93211387932,-1517378.2094072849,2292811.8996155425
2019-01-09,S003,2019,1,9,2,0,0,0,61.439998626708984,-0.30811612903225805,101.19331290322582,102.42580645161291,110.3,100.03838420217899,0.011410746666666667,2431.18,21880.63,24311.81564854795,0.0,0.0,-218.80634083693153,-437.61268167386305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302669.7224980739,23655.396626037153,-1517329.23281857,2290997.9518853663
2019-01-10,S003,2019,1,10,3,0,0,0,61.68000030517578,-0.3081306451612903,101.18636451612903,102.42903225806452,110.3,99.98527976016089,0.01283709,2597.48,23377.35,25974.834132079628,0.0,0.0,-233.77350718871662,-467.54701437743324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000.0,0.0,0.0,312943.23610858736,10273.513610513479,-1502280.237233508,2289183.300586768
2019-01-11,S003,2019,1,11,4,0,0,0,60.47999954223633,-0.3081451612903226,101.17941612903226,102.43225806451613,110.3,99.93217531814281,0.014263433333333334,2819.58,25376.25,28195.831624787086,0.0,0.0,-253.76248462308376,-507.52496924616753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340377.7802795052,27434.544170917834,-1502194.3216840876,2286001.2432008353
2019-01-12,S003,2019,1,12,5,1,0,1,60.47999954223633,-0.30815967741935485,101.17246774193549,102.43548387096774,110.3,99.87907087612471,0.01568977666666667,2460.77,22146.94,24607.71158146374,0.0,0.0,-221.46940423317363,-442.93880846634727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364321.0836482694,23943.30336876422,-1502283.3517438844,2289298.652822934
2019-01-13,S003,2019,1,13,6,1,0,1,60.47999954223633,-0.3081741935483871,101.16551935483872,102.43870967741935,110.3,99.82596643410662,0.017116120000000002,2383.57,21452.17,23835.747695925606,0.0,0.0,-214.52172926333043,-429.04345852666086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387513.26615640504,23192.182508135615,-1502298.1182746876,2289845.5613711914
2019-01-14,S003,2019,1,14,0,0,0,0,58.9900016784668,-0.30818870967741935,101.15857096774194,102.44193548387098,110.3,99.77286199208854,0.018542463333333335,2261.71,20355.35,22617.058586118284,0.0,0.0,-203.55352727506454,-407.1070545501291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409519.6641606981,22006.398004293093,-1502313.9987721338,2290433.727943284
2019-01-15,S003,2019,1,15,1,0,0,0,60.63999938964844,-0.3082032258064516,101.15162258064517,102.44516129032259,110.3,99.71975755007044,0.01996880666666667,2212.63,19913.69,22126.318267747276,0.0,0.0,-199.13686440972546,-398.2737288194509,0.0,-30000.0,-8007.560483870968,-3000.0,0.0,0.0,-6005.670362903226,0.0,0.0,0.0,384035.340988442,-25484.323172256092,-1500611.336359234,2291242.1801045192
2019-01-16,S003,2019,1,16,2,0,0,0,61.31999969482422,-0.30821774193548385,101.1446741935484,102.4483870967742,110.3,99.66665310805236,0.02139515,2429.1,21861.89,24290.992618979675,0.0,0.0,-218.61893357081706,-437.2378671416341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407670.47680670925,23635.135818267223,-1500565.6236621253,2289549.1172486213
2019-01-17,S003,2019,1,17,3,0,0,0,61.18000030517578,-0.30823225806451615,101.13772580645161,102.45161290322581,110.3,99.61354866603426,0.022821493333333335,2540.18,22861.59,25401.765770108173,0.0,0.0,-228.61589193097353,-457.23178386194706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432386.3949010245,24715.918094315253,-1500553.1225775962,2289086.1141179185
2019-01-18,S003,2019,1,18,4,0,0,0,62.70000076293945,-0.3082467741935484,101.13077741935484,102.45483870967742,110.3,99.56044422401618,0.024247836666666668,2844.45,25600.08,28444.530006745183,0.0,0.0,-256.0007700607066,-512.0015401214132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460062.9225975876,27676.527696563062,-1554828.1540558608,2286224.5664539454
2019-01-19,S003,2019,1,19,5,1,0,1,62.70000076293945,-0.30826129032258065,101.12382903225807,102.45806451612903,110.3,99.50733978199808,0.02567418,2437.26,21935.34,24372.60207178214,0.0,0.0,-219.35341864603924,-438.7068372920785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483777.4644134316,23714.541815844022,-1554930.865538982,2290028.6954584247
2019-01-20,S003,2019,1,20,6,1,0,1,62.70000076293945,-0.3082758064516129,101.11688064516129,102.46129032258065,110.3,99.45423533998,0.027100523333333335,2317.92,20861.27,23179.187098746468,0.0,0.0,-208.6126838887182,-417.2253677774364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506330.8134605119,22553.34904708031,-1809932.1997407281,2291318.5744680045
2019-01-21,S003,2019,1,21,0,0,0,0,62.70000076293945,-0.30829032258064515,101.10993225806452,102.46451612903226,110.3,99.4011308979619,0.028526866666666668,2367.66,21308.94,23676.600955517486,0.0,0.0,-213.08940859965736,-426.1788171993147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529368.1461902305,23037.332729718513,-1810093.2284454943,2297282.600570448
2019-01-22,S003,2019,1,22,1,0,0,0,61.5,-0.3083048387096774,101.10298387096775,102.46774193548387,110.3,99.34802645594381,0.02995321,2261.68,20355.16,22616.843530753176,0.0,0.0,-203.55159177677857,-407.10318355355713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551374.3349456533,22006.18875542284,-1809976.9133999452,2292974.6359204827
2019-01-23,S003,2019,1,23,2,0,0,0,61.13999938964844,-0.3083193548387097,101.09603548387098,102.47096774193548,110.3,99.29492201392573,0.03137955333333334,2453.8,22084.18,24537.97908449845,0.0,0.0,-220.84181176048602,-441.68362352097205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575249.7885948702,23875.45364921699,-1809918.9522897552,2290827.928135674
2019-01-24,S003,2019,1,24,3,0,0,0,61.09000015258789,-0.30833387096774195,101.0890870967742,102.47419354838709,110.3,99.24181757190763,0.03280589666666667,2525.51,22729.56,25255.063039448476,0.0,0.0,-227.29556735503627,-454.59113471007254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599822.9649322536,24573.176337383367,-1810116.0086658408,2298126.312435135
2019-01-25,S003,2019,1,25,4,0,0,0,61.63999938964844,-0.3083483870967742,101.08213870967742,102.47741935483872,110.3,99.18871312988955,0.034232240000000004,3235.43,29118.85,32354.278525700647,0.0,0.0,-291.1885067313058,-582.3770134626116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631303.6779377604,31480.71300550673,-1809872.2694449308,2289098.9338829136
2019-01-26,S003,2019,1,26,5,1,0,1,61.63999938964844,-0.30836290322580645,101.07519032258065,102.48064516129033,110.3,99.13560868787145,0.035658583333333334,2851.78,25666.02,28517.804636455196,0.0,0.0,-256.66024172809676,-513.3204834561935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659051.5018490313,27747.823911270905,-1809977.6281246007,2293001.107204021
2019-01-27,S003,2019,1,27,6,1,0,1,61.63999938964844,-0.3083774193548387,101.06824193548387,102.48387096774194,110.3,99.08250424585337,0.03708492666666667,2681.45,24133.06,26814.514703805973,0.0,0.0,-241.33063233425375,-482.6612646685075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685142.0246558345,26090.522806803212,-1810013.7470366023,2294338.844685568
2019-01-28,S003,2019,1,28,0,0,0,0,59.93000030517578,-0.30839193548387095,101.0612935483871,102.48709677419355,110.3,99.02939980383528,0.03851127,2691.18,24220.63,26911.81582528364,0.0,0.0,-242.20634242755276,-484.4126848551055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711327.2214538355,26185.196798000983,-1810003.1837506513,2293947.611872563
2019-01-29,S003,2019,1,29,1,0,0,0,61.31999969482422,-0.30840645161290325,101.05434516129033,102.49032258064516,110.3,98.9762953618172,0.03993761333333334,2587.9,23291.13,25879.037973387727,0.0,0.0,-232.91134176048953,-465.82268352097907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736507.5254019417,25180.30394810626,-1810029.7926272552,2294933.125820864
2019-01-30,S003,2019,1,30,2,0,0,0,61.650001525878906,-0.3084209677419355,101.04739677419356,102.49354838709678,110.3,98.9231909197991,0.04136395666666667,2805.61,25250.49,28056.097541987005,0.0,0.0,-252.50487787788302,-505.00975575576604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763806.108310295,27298.582908353357,-1890656.6802674362,2304790.075457185
2019-01-31,S003,2019,1,31,3,0,0,0,61.88999938964844,-0.30843548387096775,101.04044838709677,102.49677419354839,110.3,98.87008647778102,0.0427903,2938.6,26447.37,29385.97026545699,4000.0,0.0,-264.47373238911285,-528.9474647782257,-80075.60483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716323.052539875,-47483.05577042003,-1810317.418556773,2291025.006125588
2019-02-01,S003,2019,2,1,4,0,0,0,61.869998931884766,-0.30845,101.0335,102.5,110.3,98.81698203576292,0.04421664333333333,2915.48,26239.33,29154.807301617686,0.0,0.0,-262.39326571455916,-524.7865314291183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744690.680044349,28367.627504474007,-1810211.2072367189,2287091.2535309824
2019-02-02,S003,2019,2,2,5,1,0,1,61.869998931884766,-0.3084764455782313,101.02640357142857,102.51071428571429,110.29642857142856,98.7911410367616,0.04564298666666667,2475.32,22277.89,24753.20641735744,0.0,0.0,-222.77885775621695,-445.5577155124339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768775.5498884378,24084.86984408879,-1810318.1922842017,2291053.6626970163
2019-02-03,S003,2019,2,3,6,1,0,1,61.869998931884766,-0.30850289115646257,101.01930714285714,102.52142857142857,110.29285714285714,98.76530003776028,0.047069330000000006,2335.19,21016.74,23351.935739045235,0.0,0.0,-210.1674216514071,-420.3348433028142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791496.9833625288,22721.433474091013,-1810336.4825465262,2291731.0798201375
2019-02-04,S003,2019,2,4,0,0,0,0,62.5099983215332,-0.30852933673469385,101.01221071428571,102.53214285714286,110.28928571428571,98.73945903875897,0.048495673333333336,2347.86,21130.73,23478.591018741015,0.0,0.0,-211.30731916866912,-422.61463833733825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814341.6524237639,22844.669061235007,-1827343.2932984657,2291983.329891974
2019-02-05,S003,2019,2,5,1,0,0,0,61.97999954223633,-0.30855578231292513,101.00511428571428,102.54285714285714,110.28571428571428,98.71361803975763,0.04992201666666667,2228.08,20052.74,22280.827358778293,0.0,0.0,-200.52744622900462,-401.05489245800925,0.0,0.0,0.0,0.0,-2500.0,-2500.0,0.0,0.0,0.0,-12000.0,819020.8974438552,4679.245020091279,-1810383.1142723039,2293458.1807748713
